term,E,P,A,E2,P2,A2
blonde,0.55,0.31,0.86,0.55,0.31,0.86
blood_donor,2.98,2.3,-0.37,2.98,2.3,-0.37
blue_collar_worker,1.52,0.05,0.43,1.52,0.05,0.43
board_director,1.04,2.59,1.09,1.04,2.59,1.09
boarder,0.34,-0.08,-0.17,0.34,-0.08,-0.17
bodyguard,1.86,2.65,0.39,1.86,2.65,0.39
bohemian,0.71,0.08,0.07,0.71,0.08,0.07
bonehead,-1.68,-1.75,-0.79,-1.68,-1.75,-0.79
bookie,-0.62,0.85,0.08,-0.62,0.85,0.08
bookkeeper,1.35,0.04,-1.44,1.35,0.04,-1.44
bookworm,1.57,0.32,-2.29,1.57,0.32,-2.29
boor,-0.65,-0.49,-0.88,-0.65,-0.49,-0.88
bore,-1.6,-1.09,-2,-1.6,-1.09,-2
born_again_Christian,1.52,0.99,0.55,1.52,0.99,0.55
boss,0.91,2.79,1.07,0.91,2.79,1.07
bouncer,0.55,2.3,0.63,0.55,2.3,0.63
boxer,0.66,2.46,2.4,0.66,2.46,2.4
boy,0.84,0.87,1.59,0.84,0.87,1.59
boy_scout,1.81,0.5,0.86,1.81,0.5,0.86
boyfriend,1.86,1.68,0.89,1.86,1.68,0.89
braggart,-1.67,-0.62,1.81,-1.67,-0.62,1.81
brain,3.34,3.7,2.27,3.34,3.7,2.27
brat,-2.66,-0.26,2.49,-2.66,-0.26,2.49
breadwinner,2.18,2.38,0.69,2.18,2.38,0.69
bricklayer,1.21,0.69,0.11,1.21,0.69,0.11
bride,2.16,1.88,0.97,2.16,1.88,0.97
bridegroom,1.66,1.41,0.32,1.66,1.41,0.32
bridesmaid,1.93,0.37,0.93,1.93,0.37,0.93
broad,-0.31,-0.04,0.91,-0.31,-0.04,0.91
broadcast_news_analyst,0.68,1.33,1.41,0.68,1.33,1.41
brother,1.8,1.72,1.43,1.8,1.72,1.43
brother_in_law,1.05,0.3,0.42,1.05,0.3,0.42
brunette,1.18,0.67,0.36,1.18,0.67,0.36
brute,-1.97,1.74,1.44,-1.97,1.74,1.44
buddy,2.66,1.98,1.01,2.66,1.98,1.01
buffoon,-1.61,-1.4,0.91,-1.61,-1.4,0.91
building_contractor,1.05,1.39,1.04,1.05,1.39,1.04
bulldozer_operator,0.44,1.17,1.38,0.44,1.17,1.38
bully,-3.25,0.66,2.04,-3.25,0.66,2.04
bum,-1.69,-2.49,-1.62,-1.69,-2.49,-1.62
bureaucrat,-0.59,1.22,0.09,-0.59,1.22,0.09
burglar,-3.37,0.6,-0.39,-3.37,0.6,-0.39
bus_driver,1.31,0.17,0.05,1.31,0.17,0.05
busboy,0.85,-1.16,0.33,0.85,-1.16,0.33
businessman,0.64,1.81,1.31,0.64,1.81,1.31
businesswoman,1.82,2.35,1.6,1.82,2.35,1.6
busybody,0.15,0.44,2.37,0.15,0.44,2.37
butcher,0.75,0.77,0.67,0.75,0.77,0.67
bystander,-0.13,-0.49,-1.27,-0.13,-0.49,-1.27
cabinet_maker,1.1,0.71,0.28,1.1,0.71,0.28
cabinet_member,0.59,1.84,0.46,0.59,1.84,0.46
cad,-1.36,-0.78,0.72,-1.36,-0.78,0.72
call_girl,-1.04,-0.68,0.92,-1.04,-0.68,0.92
capitalist,0.54,1.64,1.37,0.54,1.64,1.37
captive,-1.14,-2.71,-0.76,-1.14,-2.71,-0.76
carpenter,1.25,0.65,0.86,1.25,0.65,0.86
cashier,0.65,-0.73,0.42,0.65,-0.73,0.42
casual_laborer,0.77,-0.42,-0.05,0.77,-0.42,-0.05
celebrity,0.25,2.25,2.16,0.25,2.25,2.16
cement_worker,0.79,0.27,0.92,0.79,0.27,0.92
censor,-0.97,1.73,-0.21,-0.97,1.73,-0.21
chain_smoker,-2.29,-1.66,-0.46,-2.29,-1.66,-0.46
chairman,0.64,2.43,0.7,0.64,2.43,0.7
chairman_of_the_board,1.05,3.04,0.96,1.05,3.04,0.96
chairperson,1.13,2.32,0.79,1.13,2.32,0.79
chairwoman,1.4,2.33,0.91,1.4,2.33,0.91
chambermaid,0.5,-1.52,-0.84,0.5,-1.52,-0.84
champion,2.36,2.69,1.67,2.36,2.69,1.67
chap,1.25,0.18,0.48,1.25,0.18,0.48
chaperone,1.02,1.39,-0.07,1.02,1.39,-0.07
chaplain,2.12,1.58,-0.52,2.12,1.58,-0.52
chatterbox,-0.49,0.14,2.92,-0.49,0.14,2.92
chauffeur,1.51,-0.51,-0.73,1.51,-0.51,-0.73
cheat,-3.01,-0.53,-0.29,-3.01,-0.53,-0.29
cheerleader,1.05,0.24,2.93,1.05,0.24,2.93
chef,1.69,1.35,1.68,1.69,1.35,1.68
chemical_engineer,1.57,1.73,-0.41,1.57,1.73,-0.41
chemist,1.82,1.88,-0.68,1.82,1.88,-0.68
chief_operations_officer,0.83,2.45,1.15,0.83,2.45,1.15
child,1.89,-1.14,1.87,1.89,-1.14,1.87
child_molester,-4.19,-0.05,-1.07,-4.19,-0.05,-1.07
chiropractor,1.77,1.38,-0.36,1.77,1.38,-0.36
choreographer,1.27,1.21,1.97,1.27,1.21,1.97
chum,-0.67,-0.97,-0.95,-0.67,-0.97,-0.95
church_deacon,1.41,1.4,-0.17,1.41,1.4,-0.17
citizen,1.35,0.93,0.39,1.35,0.93,0.39
city_councilor,0.66,1.8,0.7,0.66,1.8,0.7
civil_engineer,1.7,1.55,-0.02,1.7,1.55,-0.02
civil_servant,1.18,-0.17,-0.54,1.18,-0.17,-0.54
classmate,0.98,0.15,0.24,0.98,0.15,0.24
cleaning_woman,1.82,0.16,-0.05,1.82,0.16,-0.05
clergy,1.08,1.44,-0.73,1.08,1.44,-0.73
clerical_worker,1.11,-0.09,-0.47,1.11,-0.09,-0.47
clerk,0.98,-0.4,-0.09,0.98,-0.4,-0.09
client,1.36,1.12,0.91,1.36,1.12,0.91
clod,-1.12,-0.51,-0.42,-1.12,-0.51,-0.42
clown,-0.05,-0.98,2.04,-0.05,-0.98,2.04
co_worker,1.42,0.29,0.5,1.42,0.29,0.5
coach,1.96,2.37,2.19,1.96,2.37,2.19
coal_miner,0.84,0.11,0.54,0.84,0.11,0.54
collaborator,1.52,1.41,0.69,1.52,1.41,0.69
colleague,1.46,0.93,0.22,1.46,0.93,0.22
college_student,1.82,0.44,1.87,1.82,0.44,1.87
comedian,1.94,1.19,2.88,1.94,1.19,2.88
commentator,0.89,0.92,1.86,0.89,0.92,1.86
commissioned_officer,1.25,1.97,0.8,1.25,1.97,0.8
commissioner,0.99,1.88,0.59,0.99,1.88,0.59
communist,-1.23,0.34,0.36,-1.23,0.34,0.36
companion,3.09,1.97,0.15,3.09,1.97,0.15
competitor,0.52,1.59,1.4,0.52,1.59,1.4
computer_programmer,1.51,1.46,0.01,1.51,1.46,0.01
computer_security_specialist,1.57,1.45,-0.59,1.57,1.45,-0.59
computer_support_specialist,1.33,0.82,-0.02,1.33,0.82,-0.02
con_artist,-2.61,1.3,0.95,-2.61,1.3,0.95
confidant,2.43,2.32,-0.64,2.43,2.32,-0.64
conformist,-0.99,-1.89,-0.92,-0.99,-1.89,-0.92
connoisseur,1.49,0.92,-0.01,1.49,0.92,-0.01
conservative,0.44,0.52,-0.23,0.44,0.52,-0.23
construction_contractor,1.37,1.38,1.35,1.37,1.38,1.35
construction_foreman,1.13,1.47,1.42,1.13,1.47,1.42
construction_laborer,1.33,0.68,1.59,1.33,0.68,1.59
consultant,1.53,1.61,0.77,1.53,1.61,0.77
consumer,1.22,1.23,0.78,1.22,1.23,0.78
convict,-2.09,-0.98,0.36,-2.09,-0.98,0.36
cook,2.24,1.69,1.58,2.24,1.69,1.58
cop,0.99,2.71,1.05,0.99,2.71,1.05
copycat,-1.93,-1.28,0.13,-1.93,-1.28,0.13
coroner,0.64,0.69,-0.95,0.64,0.69,-0.95
cosmetologist,1.31,0.3,0.6,1.31,0.3,0.6
