term,E,P,A,E2,P2,A2
opportunistic,2.31,2.19,1.33,2.31,2.19,1.33
optimistic,2.91,2.57,0.91,2.91,2.57,0.91
ordinary,-0.46,-1.03,-1.37,-0.46,-1.03,-1.37
organized,2.85,2.22,-0.61,2.85,2.22,-0.61
original,2.82,2.5,0.22,2.82,2.5,0.22
ostentatious,-0.55,0.78,1.45,-0.55,0.78,1.45
outgoing,2.18,2.1,2.19,2.18,2.1,2.19
outrage,-1.61,1.04,2.3,-1.61,1.04,2.3
outraged,-1.71,0.44,2.28,-1.71,0.44,2.28
outspoken,0.98,2.01,2.07,0.98,2.01,2.07
overbearing,-1.99,0.92,1.24,-1.99,0.92,1.24
overconfident,-1.07,0.53,1.7,-1.07,0.53,1.7
overjoyed,3.1,2.71,2.43,3.1,2.71,2.43
overwhelmed,-2.53,-0.33,1.41,-2.53,-0.33,1.41
panicked,-2.32,-1.22,2.1,-2.32,-1.22,2.1
paranoid,-2.4,-0.65,0.24,-2.4,-0.65,0.24
passionate,2.69,2.7,1.7,2.69,2.7,1.7
passive,-0.75,-1.27,-1.9,-0.75,-1.27,-1.9
patient,2.73,2.18,-2.05,2.73,2.18,-2.05
peaceful,3.31,2.44,-1.74,3.31,2.44,-1.74
peeved,-1.76,-0.4,0.31,-1.76,-0.4,0.31
pensive,1.44,0.98,-1.85,1.44,0.98,-1.85
perceptive,2.39,2.23,-0.47,2.39,2.23,-0.47
permissive,-0.22,-0.67,-0.94,-0.22,-0.67,-0.94
persecuted,-2.6,-0.28,0.55,-2.6,-0.28,0.55
persistent,1.91,2.05,1.23,1.91,2.05,1.23
persuasive,1.41,2.54,0.81,1.41,2.54,0.81
pessimistic,-1.91,-0.7,-0.46,-1.91,-0.7,-0.46
petrified,-2.68,-1.13,0.2,-2.68,-1.13,0.2
petty,-1.52,-0.94,0.3,-1.52,-0.94,0.3
phobic,-2.23,-1.6,0.39,-2.23,-1.6,0.39
pitiful,-2.18,-2.22,-1.86,-2.18,-2.22,-1.86
